id,source_type,source_id,relation,target_type,target_id,confidence,provenance
edge_0098617,Evidence,ev_biochem_004151_b151b6757e,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098618,Evidence,ev_biochem_004152_f82f3f13be,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098619,Evidence,ev_biochem_004152_f82f3f13be,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098620,Evidence,ev_biochem_004153_6c2e737d45,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098621,Evidence,ev_biochem_004153_6c2e737d45,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098622,Evidence,ev_biochem_004154_4e5c2d8e35,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098623,Evidence,ev_biochem_004154_4e5c2d8e35,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098624,Evidence,ev_biochem_004155_7a6c3d69d8,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098625,Evidence,ev_biochem_004155_7a6c3d69d8,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098626,Evidence,ev_biochem_004156_6769f9a62d,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
