id,source_type,source_id,relation,target_type,target_id,confidence,provenance
edge_0098908,Evidence,ev_biochem_004272_6a4c07eb54,SUPPORTS,Condition,cond_hyperuricemia,0.75,kb_pdf
edge_0098909,Evidence,ev_biochem_004273_6d8c57bdbd,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098910,Evidence,ev_biochem_004273_6d8c57bdbd,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098911,Evidence,ev_biochem_004274_91ee6409a4,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098912,Evidence,ev_biochem_004274_91ee6409a4,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098913,Evidence,ev_biochem_004274_91ee6409a4,SUPPORTS,Condition,cond_thalassemia,0.75,kb_pdf
edge_0098914,Evidence,ev_biochem_004275_a5fee8c227,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098915,Evidence,ev_biochem_004275_a5fee8c227,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098916,Evidence,ev_biochem_004275_a5fee8c227,MENTIONS_TEST,Test,test_CL,0.95,kb_pdf
edge_0098917,Evidence,ev_biochem_004275_a5fee8c227,MENTIONS_TOPIC,Topic,topic_electrolyte_disorder,0.8,kb_pdf
edge_0098918,Evidence,ev_biochem_004275_a5fee8c227,SUPPORTS,Condition,cond_electrolyte_disorder,0.75,kb_pdf
edge_0098919,Evidence,ev_biochem_004276_15844d53a1,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098920,Evidence,ev_biochem_004276_15844d53a1,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098921,Evidence,ev_biochem_004276_15844d53a1,MENTIONS_TEST,Test,test_CL,0.95,kb_pdf
edge_0098922,Evidence,ev_biochem_004276_15844d53a1,MENTIONS_TOPIC,Topic,topic_electrolyte_disorder,0.8,kb_pdf
edge_0098923,Evidence,ev_biochem_004276_15844d53a1,SUPPORTS,Condition,cond_electrolyte_disorder,0.75,kb_pdf
edge_0098924,Evidence,ev_biochem_004277_075a13b2f8,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098925,Evidence,ev_biochem_004277_075a13b2f8,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098926,Evidence,ev_biochem_004277_075a13b2f8,SUPPORTS,Condition,cond_thalassemia,0.75,kb_pdf
edge_0098927,Evidence,ev_biochem_004278_7883900cba,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098928,Evidence,ev_biochem_004278_7883900cba,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098929,Evidence,ev_biochem_004279_8503f803cd,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098930,Evidence,ev_biochem_004279_8503f803cd,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098931,Evidence,ev_biochem_004279_8503f803cd,SUPPORTS,Condition,cond_macrocytic_anemia,0.75,kb_pdf
edge_0098932,Evidence,ev_biochem_004280_b623dbde2c,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098933,Evidence,ev_biochem_004280_b623dbde2c,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098934,Evidence,ev_biochem_004280_b623dbde2c,SUPPORTS,Condition,cond_macrocytic_anemia,0.75,kb_pdf
edge_0098935,Evidence,ev_biochem_004281_ba67f75b25,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098936,Evidence,ev_biochem_004281_ba67f75b25,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098937,Evidence,ev_biochem_004282_5d64909adb,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098938,Evidence,ev_biochem_004282_5d64909adb,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098939,Evidence,ev_biochem_004283_378b8687b1,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098940,Evidence,ev_biochem_004283_378b8687b1,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098941,Evidence,ev_biochem_004284_33866ef580,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098942,Evidence,ev_biochem_004284_33866ef580,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098943,Evidence,ev_biochem_004285_692f96d824,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
